SVC:
####
SVC #0 param: {'clf__C': 10, 'clf__kernel': 'linear', 'vect__ngram_range': (1, 1), 'vect__use_idf': True}, mean: 0.712, std: 0.033.

SVC #1 param: {'clf__C': 10, 'clf__kernel': 'linear', 'vect__ngram_range': (1, 1), 'vect__use_idf': False}, mean: 0.633, std: 0.022.

SVC #2 param: {'clf__C': 10, 'clf__kernel': 'linear', 'vect__ngram_range': (1, 2), 'vect__use_idf': True}, mean: 0.703, std: 0.031.

SVC #3 param: {'clf__C': 10, 'clf__kernel': 'linear', 'vect__ngram_range': (1, 2), 'vect__use_idf': False}, mean: 0.633, std: 0.021.

SVC #4 param: {'clf__C': 10, 'clf__kernel': 'poly', 'vect__ngram_range': (1, 1), 'vect__use_idf': True}, mean: 0.047, std: 0.001.

SVC #5 param: {'clf__C': 10, 'clf__kernel': 'poly', 'vect__ngram_range': (1, 1), 'vect__use_idf': False}, mean: 0.047, std: 0.001.

SVC #6 param: {'clf__C': 10, 'clf__kernel': 'poly', 'vect__ngram_range': (1, 2), 'vect__use_idf': True}, mean: 0.047, std: 0.001.

SVC #7 param: {'clf__C': 10, 'clf__kernel': 'poly', 'vect__ngram_range': (1, 2), 'vect__use_idf': False}, mean: 0.047, std: 0.001.

SVC #8 param: {'clf__C': 10, 'clf__kernel': 'rbf', 'vect__ngram_range': (1, 1), 'vect__use_idf': True}, mean: 0.047, std: 0.001.

SVC #9 param: {'clf__C': 10, 'clf__kernel': 'rbf', 'vect__ngram_range': (1, 1), 'vect__use_idf': False}, mean: 0.047, std: 0.001.

SVC #10 param: {'clf__C': 10, 'clf__kernel': 'rbf', 'vect__ngram_range': (1, 2), 'vect__use_idf': True}, mean: 0.047, std: 0.001.

SVC #11 param: {'clf__C': 10, 'clf__kernel': 'rbf', 'vect__ngram_range': (1, 2), 'vect__use_idf': False}, mean: 0.047, std: 0.001.

SVC #12 param: {'clf__C': 10, 'clf__kernel': 'sigmoid', 'vect__ngram_range': (1, 1), 'vect__use_idf': True}, mean: 0.047, std: 0.001.

SVC #13 param: {'clf__C': 10, 'clf__kernel': 'sigmoid', 'vect__ngram_range': (1, 1), 'vect__use_idf': False}, mean: 0.047, std: 0.001.

SVC #14 param: {'clf__C': 10, 'clf__kernel': 'sigmoid', 'vect__ngram_range': (1, 2), 'vect__use_idf': True}, mean: 0.047, std: 0.001.

SVC #15 param: {'clf__C': 10, 'clf__kernel': 'sigmoid', 'vect__ngram_range': (1, 2), 'vect__use_idf': False}, mean: 0.047, std: 0.001.

SVC #16 param: {'clf__C': 100, 'clf__kernel': 'linear', 'vect__ngram_range': (1, 1), 'vect__use_idf': True}, mean: 0.712, std: 0.033.

SVC #17 param: {'clf__C': 100, 'clf__kernel': 'linear', 'vect__ngram_range': (1, 1), 'vect__use_idf': False}, mean: 0.633, std: 0.022.

SVC #18 param: {'clf__C': 100, 'clf__kernel': 'linear', 'vect__ngram_range': (1, 2), 'vect__use_idf': True}, mean: 0.703, std: 0.031.

SVC #19 param: {'clf__C': 100, 'clf__kernel': 'linear', 'vect__ngram_range': (1, 2), 'vect__use_idf': False}, mean: 0.633, std: 0.021.

SVC #20 param: {'clf__C': 100, 'clf__kernel': 'poly', 'vect__ngram_range': (1, 1), 'vect__use_idf': True}, mean: 0.047, std: 0.001.

SVC #21 param: {'clf__C': 100, 'clf__kernel': 'poly', 'vect__ngram_range': (1, 1), 'vect__use_idf': False}, mean: 0.047, std: 0.001.

SVC #22 param: {'clf__C': 100, 'clf__kernel': 'poly', 'vect__ngram_range': (1, 2), 'vect__use_idf': True}, mean: 0.047, std: 0.001.

SVC #23 param: {'clf__C': 100, 'clf__kernel': 'poly', 'vect__ngram_range': (1, 2), 'vect__use_idf': False}, mean: 0.047, std: 0.001.

SVC #24 param: {'clf__C': 100, 'clf__kernel': 'rbf', 'vect__ngram_range': (1, 1), 'vect__use_idf': True}, mean: 0.047, std: 0.001.

SVC #25 param: {'clf__C': 100, 'clf__kernel': 'rbf', 'vect__ngram_range': (1, 1), 'vect__use_idf': False}, mean: 0.047, std: 0.001.

SVC #26 param: {'clf__C': 100, 'clf__kernel': 'rbf', 'vect__ngram_range': (1, 2), 'vect__use_idf': True}, mean: 0.047, std: 0.001.

